"name","price","capacity","price_per_gb","type","cache","form_factor","interface"
"Samsung 980 Pro",169.99,2000,0.085,"SSD",2048,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston NV2",60.99,1000,0.061,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 970 Evo Plus",97.5,1000,0.098,"SSD",1024,"M.2-2280","M.2 PCIe 3.0 X4"
"Samsung 990 Pro",318.35,4000,0.08,"SSD",4096,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial P3 Plus",69.98,1000,0.07,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 980 Pro",106.13,1000,0.106,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 990 Pro",169.99,2000,0.085,"SSD",2048,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial P3 Plus",117.99,2000,0.059,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Black SN850X",156.99,2000,0.078,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate Barracuda Compute",64.98,2000,0.032,"7200",256,"3.5","SATA 6.0 Gb/s"
"Western Digital Black SN850X",91.92,1000,0.092,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Mushkin Source HC",2302.98,16000,0.144,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Kingston NV2",118,2000,0.059,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 870 Evo",104.99,1000,0.105,"SSD",1024,"2.5","SATA 6.0 Gb/s"
"Western Digital Black SN770",84.15,1000,0.084,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP MP33",36.99,512,0.072,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Sabrent Rocket 4 Plus",1189.99,8000,0.149,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
